과목,학년,강좌번호,교과목명,교과목번호,학점,시간,담당교수,단계,시간및강의실,비고
[성서와인간이해],,0001, 성서와인간이해,교필127,2,2,김준, , 월11:00-12:50(Y8114), 블렌디드러닝강좌
[성서와인간이해],,0002, 성서와인간이해,교필127,2,2,김준, , 월13:00-14:50(Y8114), 블렌디드러닝강좌
[성서와인간이해],,0003, 성서와인간이해,교필127,2,2,김준, , 월15:00-16:50(Y8114), 블렌디드러닝강좌
[성서와인간이해],,0004, 성서와인간이해,교필127,2,2,황훈식, , 화09:00-10:50(Y22217), 블렌디드러닝강좌
[성서와인간이해],,0005, 성서와인간이해,교필127,2,2,황훈식, , 화15:00-16:50(Y8114), 블렌디드러닝강좌
[성서와인간이해],,0006, 성서와인간이해,교필127,2,2,문성찬, , 수09:00-10:50(Y22217), 블렌디드러닝강좌
[성서와인간이해],,0007, 성서와인간이해,교필127,2,2,박용수, , 수09:00-10:50(Y8114), 외국인학생 전용강좌
[성서와인간이해],,0008, 성서와인간이해,교필127,2,2,황훈식, , 수15:00-16:50(Y8114), 블렌디드러닝강좌
[성서와인간이해],,0009, 성서와인간이해,교필127,2,2,지상태, , 금09:00-10:50(Y8114), 블렌디드러닝강좌
[성서와인간이해],,0010, 성서와인간이해,교필127,2,2,지상태, , 금11:00-12:50(Y8114), 블렌디드러닝강좌
[채  플],,0011, 채플,교필101,0,1,교목실, , 월11:00-11:50(Y22217), N/P
[채  플],,0012, 채플,교필101,0,1,교목실, , 월12:00-12:50(Y22217), N/P
[채  플],,0013, 채플,교필101,0,1,교목실, , 화11:00-11:50(Y22217)," 영어채플, N/P"
[채  플],,0014, 채플,교필101,0,1,교목실, , 화12:00-12:50(Y22217), N/P
[채  플],,0015, 채플,교필101,0,1,교목실, , 수11:00-11:50(Y22217), N/P
[채  플],,0016, 채플,교필101,0,1,교목실, , 수12:00-12:50(Y22217), N/P
[영  어],,0055, 영어1,교필106,2,2,엄혜영, ," 월11:00-11:50(Y9528), 수11:00-11:50(Y9528)", 
[영  어],,0056, 영어1,교필106,2,2,엄혜영, ," 월13:00-13:50(Y9528), 수13:00-13:50(Y9528)", 
[영  어],,0057, 영어1,교필106,2,2,엄혜영, ," 월14:00-14:50(Y9528), 수14:00-14:50(Y9528)", 
[영  어],,0058, 영어1,교필106,2,2,엄용희, ," 화10:00-10:50(Y9522), 목10:00-10:50(Y9522)", 
[영  어],,0059, 영어1,교필106,2,2,엄용희, ," 화11:00-11:50(Y9522), 목11:00-11:50(Y9522)", 
[영  어],,0060, 영어1,교필106,2,2,엄용희, ," 화14:00-14:50(Y9522), 목14:00-14:50(Y9522)", 
[영  어],,0061, 영어1,교필106,2,2,엄용희, ," 화15:00-15:50(Y9522), 목15:00-15:50(Y9522)", 
[영  어],,0062, 영어1,교필106,2,2,김희진, ," 화11:00-11:50(Y9530), 목11:00-11:50(Y9530)", 
[영  어],,0063, 영어1,교필106,2,2,김희진, ," 화12:00-12:50(Y9530), 목12:00-12:50(Y9530)", 
[영  어],,0064, 영어1,교필106,2,2,김희진, ," 화14:00-14:50(Y9530), 목14:00-14:50(Y9530)", 
[영  어],,0065, 영어1,교필106,2,2,김희진, ," 화15:00-15:50(Y9530), 목15:00-15:50(Y9530)", 
[영  어],,0066, 영어1,교필106,2,2,서정아, ," 월10:00-10:50(Y8107), 수10:00-10:50(Y8107)", 
[영  어],,0067, 영어1,교필106,2,2,서정아, ," 월11:00-11:50(Y8107), 수11:00-11:50(Y8107)", 
[영  어],,0068, 영어1,교필106,2,2,서정아, ," 월13:00-13:50(Y8107), 수13:00-13:50(Y8107)", 
[영  어],,0069, 영어1,교필106,2,2,서정아, ," 월14:00-14:50(Y8107), 수14:00-14:50(Y8107)", 
[영  어],,0070, 영어1,교필106,2,2,이보경, ," 화11:00-11:50(Y8110), 목11:00-11:50(Y8110)", 
[영  어],,0071, 영어1,교필106,2,2,이보경, ," 화12:00-12:50(Y8110), 목12:00-12:50(Y8110)", 
[영  어],,0072, 영어1,교필106,2,2,이보경, ," 화14:00-14:50(Y8110), 목14:00-14:50(Y8110)", 
[영  어],,0073, 영어1,교필106,2,2,이보경, ," 화15:00-15:50(Y8110), 목15:00-15:50(Y8110)", 
[영  어],,0074, 영어1,교필106,2,2,김은영, ," 수10:00-10:50(Y9501), 금10:00-10:50(Y9501)", 
[영  어],,0075, 영어1,교필106,2,2,김은영, ," 수11:00-11:50(Y9501), 금11:00-11:50(Y9501)", 
[영  어],,0076, 영어1,교필106,2,2,김은영, , 화18:40-20:15(Y9501), 스포츠지도학 전용강좌
[영  어],,1265, 영어1,교필106,2,2,김은영, ," 수12:00-12:50(Y9501), 금12:00-12:50(Y9501)", 
[영  어],,0077, 영어2,교필107,2,2,김희진, ," 월11:00-11:50(Y9530), 수11:00-11:50(Y9530)", 
[영  어],,0078, 영어2,교필107,2,2,김희진, ," 월12:00-12:50(Y9530), 수12:00-12:50(Y9530)", 
[영  어],,0079, 영어2,교필107,2,2,김희진, ," 월14:00-14:50(Y9530), 수14:00-14:50(Y9530)", 
[영  어],,0138, 영어3,교필123,2,2,엄용희, ," 월10:00-10:50(Y9522), 수10:00-10:50(Y9522)", 
[영  어],,0139, 영어3,교필123,2,2,엄용희, ," 월11:00-11:50(Y9522), 수11:00-11:50(Y9522)", 
[영  어],,0140, 영어3,교필123,2,2,엄용희, ," 월14:00-14:50(Y9522), 수14:00-14:50(Y9522)", 
[영  어],,0141, 영어3,교필123,2,2,엄용희, ," 월15:00-15:50(Y9522), 수15:00-15:50(Y9522)", 
[영  어],,0142, 영어3,교필123,2,2,엄혜영, ," 화11:00-11:50(Y9528), 목11:00-11:50(Y9528)", 
[영  어],,0143, 영어3,교필123,2,2,엄혜영, ," 화12:00-12:50(Y9528), 목12:00-12:50(Y9528)", 
[영  어],,0144, 영어3,교필123,2,2,엄혜영, ," 화14:00-14:50(Y9528), 목14:00-14:50(Y9528)", 
[영  어],,0145, 영어3,교필123,2,2,엄혜영, ," 화15:00-15:50(Y9528), 목15:00-15:50(Y9528)", 
[영  어],,0146, 영어3,교필123,2,2,이보경, ," 월11:00-11:50(Y8110), 수11:00-11:50(Y8110)", 
[영  어],,0147, 영어3,교필123,2,2,이보경, ," 월12:00-12:50(Y8110), 수12:00-12:50(Y8110)", 
[영  어],,0148, 영어3,교필123,2,2,이보경, ," 월14:00-14:50(Y8110), 수14:00-14:50(Y8110)", 
[영  어],,0149, 영어3,교필123,2,2,이보경, ," 월15:00-15:50(Y8110), 수15:00-15:50(Y8110)", 
[영어회화],,0080, 영어회화1,교필108,1,2,데본, ," 월10:00-10:50(Y9230), 수10:00-10:50(Y9230)", 
[영어회화],,0081, 영어회화1,교필108,1,2,데본, ," 월11:00-11:50(Y9230), 수11:00-11:50(Y9230)", 
[영어회화],,0082, 영어회화1,교필108,1,2,데본, ," 월14:00-14:50(Y9230), 수14:00-14:50(Y9230)", 
[영어회화],,0083, 영어회화1,교필108,1,2,데본, ," 월15:00-15:50(Y9230), 수15:00-15:50(Y9230)", 
